"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\contact\page.tsx", "TypeScript JSX", 0, 180, 0, 6, 15, 201
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\dashboard\appointments\page.tsx", "TypeScript JSX", 0, 281, 0, 1, 22, 304
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\dashboard\layout.tsx", "TypeScript JSX", 0, 14, 0, 1, 6, 21
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\dashboard\messages\page.tsx", "TypeScript JSX", 0, 198, 0, 0, 17, 215
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 75, 0, 5, 8, 88
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\dashboard\products\page.tsx", "TypeScript JSX", 0, 260, 0, 11, 28, 299
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\dashboard\users\page.tsx", "TypeScript JSX", 0, 223, 0, 6, 17, 246
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\globals.css", "CSS", 0, 0, 91, 3, 12, 106
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\layout.tsx", "TypeScript JSX", 0, 41, 0, 0, 5, 46
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\login\page.tsx", "TypeScript JSX", 0, 159, 0, 3, 14, 176
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\mes-commandes\page.tsx", "TypeScript JSX", 0, 151, 0, 1, 13, 165
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\mon-profil\page.tsx", "TypeScript JSX", 0, 265, 0, 10, 26, 301
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\page.tsx", "TypeScript JSX", 0, 12, 0, 0, 2, 14
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\product\[id]\page.tsx", "TypeScript JSX", 0, 323, 0, 9, 33, 365
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\products\[category]\page.tsx", "TypeScript JSX", 0, 32, 0, 1, 6, 39
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\services\page.tsx", "TypeScript JSX", 0, 117, 0, 5, 11, 133
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\signup\page.tsx", "TypeScript JSX", 0, 195, 0, 9, 21, 225
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\app\ui\switch\page.tsx", "TypeScript JSX", 0, 76, 0, 5, 9, 90
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\CategoryNavbar.tsx", "TypeScript JSX", 0, 150, 0, 4, 9, 163
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\Footer.tsx", "TypeScript JSX", 0, 131, 0, 5, 5, 141
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\Navbar.tsx", "TypeScript JSX", 0, 268, 0, 10, 18, 296
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\SearchBar.tsx", "TypeScript JSX", 0, 124, 0, 2, 11, 137
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\cart\CartDropdown.tsx", "TypeScript JSX", 0, 102, 0, 2, 7, 111
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\home\AboutSection.tsx", "TypeScript JSX", 0, 52, 0, 4, 5, 61
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\home\BrandsSection.tsx", "TypeScript JSX", 0, 101, 0, 2, 13, 116
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\home\FeaturesSection.tsx", "TypeScript JSX", 0, 39, 0, 0, 3, 42
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\home\HeroSection.tsx", "TypeScript JSX", 0, 102, 0, 3, 9, 114
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\home\ProductsSection.tsx", "TypeScript JSX", 0, 228, 0, 9, 24, 261
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\modals\DevisModal.tsx", "TypeScript JSX", 0, 166, 0, 4, 19, 189
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\products\AddProductModal.tsx", "TypeScript JSX", 0, 405, 0, 2, 31, 438
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\products\DeleteProductModal.tsx", "TypeScript JSX", 0, 96, 0, 0, 13, 109
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\products\EditProductModal.tsx", "TypeScript JSX", 0, 417, 0, 4, 39, 460
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\products\ProductFilters.tsx", "TypeScript JSX", 0, 101, 0, 7, 11, 119
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\products\ViewProductModal.tsx", "TypeScript JSX", 0, 119, 0, 0, 14, 133
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\button.tsx", "TypeScript JSX", 0, 52, 0, 0, 6, 58
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 109, 0, 0, 14, 123
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 183, 0, 0, 19, 202
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\flags.tsx", "TypeScript JSX", 0, 26, 0, 0, 1, 27
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\input.tsx", "TypeScript JSX", 0, 19, 0, 0, 4, 23
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\label.tsx", "TypeScript JSX", 0, 21, 0, 0, 6, 27
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\select.tsx", "TypeScript JSX", 0, 146, 0, 0, 14, 160
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\spinner.tsx", "TypeScript JSX", 0, 34, 0, 1, 4, 39
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\switch.tsx", "TypeScript JSX", 0, 49, 0, 1, 8, 58
"c:\Users\tahar\OneDrive\Bureau\gazzeh travail\health-ecommerce\src\components\ui\toast.tsx", "TypeScript JSX", 0, 116, 0, 0, 14, 130
